LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?,LATITUDE,LONGITUDE,INDEX
Rua Guaiúba - Acari| Rio de Janeiro - RJ| Brasil,2016/07/05,18:55:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8232803345,-43.3455009460,27
Av. União - Santa Terezinha| Mesquita - RJ| Brasil,2016/07/05,19:16:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7903957367,-43.4355926514,28
Avenida Antares - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/05,19:17:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9217586517,-43.6634178162,30
Travessa Antonio Pereira Martins| Nilópolis - RJ| Brasil,2016/07/05,19:21:00,Não,0,0,Não,0,0,Não Sabe,-22.8088645935,-43.4344482422,31
Rua Ana Neri próximo ao 1255 - Rocha| Rio de Janeiro - RJ| Brasil,2016/07/05,19:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9008750916,-43.2481269836,32
Av. Brg. Lima e Silva - Jardim Vinte e Cinco de Agosto| Duque de Caxias - RJ| Brasil,2016/07/04,18:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7925930023,-43.3015022278,33
Morro Sao Joao - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/05,19:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9077777863,-43.2616653442,34
Rua Piracambú - Acari| Rio de Janeiro - RJ| Brasil,2016/07/05,20:34:00,Sim,1,0,Não Sabe,0,0,Sim,-22.8246002197,-43.3457946777,36
Rua Arlíndo Cardoso - Santíssimo| Rio de Janeiro - RJ| Brasil,2016/07/05,19:00:00,Sim,1,0,Não Sabe,0,0,Não Sabe,-22.8819732666,-43.4999809265,37
Campo Grande| Rio de Janeiro - RJ| Brasil,2016/07/05,20:58:00,Sim,0,0,Não Sabe,0,0,Não Sabe,-22.9035835266,-43.5662422180,38
