LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?
Rua Nair - Tomazinho| São João de Meriti - RJ| Brasil,2016/07/05,23:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Costa Júnior - Bangu| Rio de Janeiro - RJ| Brasil,2016/06/28,19:45:00,Não,0,0,Não,0,0,Sim
Rua Conselheiro Galvão - Madureira| Rio de Janeiro - RJ| Brasil,2016/07/06,00:01:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Figueiredo Camargo próximo ao 1332 - Bangu| Rio de Janeiro - RJ| Brasil,2016/07/05,22:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Gardênia Azul| Rio de Janeiro - RJ| Brasil,2016/07/06,23:53:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Cidade de Deus| Rio de Janeiro - RJ| Brasil,2016/07/06,00:10:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estr. do Camboatá - Guadalupe| Rio de Janeiro - RJ| Brasil,2016/07/06,00:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Jacarezinho| Rio de Janeiro - RJ| Brasil,2016/07/06,00:20:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Padre Mário Versé - Anchieta| Nilópolis - RJ| Brasil,2016/07/06,00:04:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Itajace - Anchieta| Nilópolis - RJ| Brasil,2016/07/06,00:10:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Cidade de Deus| Rio de Janeiro - RJ| Brasil,2016/07/06,00:29:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Doutor Garnier - Rocha| Rio de Janeiro - RJ| Brasil,2016/07/06,00:02:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Jacaré| RJ| Brasil,2016/07/06,00:06:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua do Engenho Novo - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/05,00:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Bispo Lacerda - Del Castilho| Rio de Janeiro - RJ| Brasil,2016/07/06,00:46:00,Não Sabe,1,0,Não Sabe,1,0,Não Sabe
Amendoeira| São Gonçalo - RJ| Brasil,2016/07/06,21:56:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Raul Pompéia - Engenho do Porto| Duque de Caxias - RJ| Brasil,2016/07/06,01:04:00,Não Sabe,0,0,Não Sabe,0,0,Não
