LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?,LATITUDE,LONGITUDE
Engenheiro Pedreira| Japeri - RJ| Brasil,2016/07/02,22:52:00,Não Sabe,3,0,Não Sabe,6,1,Sim,-22.6782531738,-43.6063308716
Engenheiro Pedreira| Japeri - RJ| Brasil,2016/07/02,22:52:00,Não Sabe,3,0,Não Sabe,6,1,Sim,-22.6782531738,-43.6063308716
Rua Joaquim de Queiroz - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/05,22:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169
Rua Presidente General Craveiro Lopes - Olinda| Nilópolis - RJ| Brasil,2016/07/05,22:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8192310333,-43.4052658081
Rua Joaquim de Queiroz - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/05,22:39:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169
Baiana - Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/05,23:05:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8587398529,-43.2662849426
Travessa Cesário de Melo - Paciência| Rio de Janeiro - RJ| Brasil,2016/07/05,06:56:00,Sim,0,1,Não,0,0,Sim,-22.9210357666,-43.6410026550
Rua Nair - Tomazinho| São João de Meriti - RJ| Brasil,2016/07/05,23:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7990627289,-43.3934860229
Rua Costa Júnior - Bangu| Rio de Janeiro - RJ| Brasil,2016/06/28,19:45:00,Não,0,0,Não,0,0,Sim,-22.8528232574,-43.4934692383
Rua Conselheiro Galvão - Madureira| Rio de Janeiro - RJ| Brasil,2016/07/06,00:01:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8705863953,-43.3379745483
Rua Figueiredo Camargo próximo ao 1332 - Bangu| Rio de Janeiro - RJ| Brasil,2016/07/05,22:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8712005615,-43.4611129761
Gardênia Azul| Rio de Janeiro - RJ| Brasil,2016/07/06,23:53:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9583225250,-43.3517036438
Cidade de Deus| Rio de Janeiro - RJ| Brasil,2016/07/06,00:10:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9481697083,-43.3626708984
Estr. do Camboatá - Guadalupe| Rio de Janeiro - RJ| Brasil,2016/07/06,00:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8340682983,-43.3795166016
Jacarezinho| Rio de Janeiro - RJ| Brasil,2016/07/06,00:20:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8875579834,-43.2581939697
Rua Padre Mário Versé - Anchieta| Nilópolis - RJ| Brasil,2016/07/06,00:04:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8177337646,-43.4005851746
Rua Itajace - Anchieta| Nilópolis - RJ| Brasil,2016/07/06,00:10:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8173465729,-43.4003028870
Cidade de Deus| Rio de Janeiro - RJ| Brasil,2016/07/06,00:29:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9481697083,-43.3626708984
Rua Doutor Garnier - Rocha| Rio de Janeiro - RJ| Brasil,2016/07/06,00:02:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8967285156,-43.2486839294
Jacaré| RJ| Brasil,2016/07/06,00:06:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8923263550,-43.2581939697
Rua do Engenho Novo - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/05,00:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9013099670,-43.2632179260
Rua Bispo Lacerda - Del Castilho| Rio de Janeiro - RJ| Brasil,2016/07/06,00:46:00,Não Sabe,1,0,Não Sabe,1,0,Não Sabe,-22.8763427734,-43.2680778503
Amendoeira| São Gonçalo - RJ| Brasil,2016/07/06,21:56:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8297595978,-42.9833145142
Rua Raul Pompéia - Engenho do Porto| Duque de Caxias - RJ| Brasil,2016/07/06,01:04:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.7939643860,-43.3190231323
Av. São Bento - São Bento| Duque de Caxias - RJ| Brasil,2016/07/05,20:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7367172241,-43.3026542664
Estrada de Belford Roxo| Nova Iguaçu - RJ| Brasil,2016/07/06,01:14:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.6839942932,-43.4469070435
Rua Ibiá - Turiaçu| Rio de Janeiro - RJ| Brasil,2016/07/06,01:44:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.8599529266,-43.3430671692
Av. União - Santa Terezinha| Mesquita - RJ| Brasil,2016/06/05,22:00:00,Sim,1,0,Sim,2,0,Não,-22.7903957367,-43.4355926514
Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/05,20:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9128704071,-43.2845535278
Rua Pedro Guedes - Maracanã| Rio de Janeiro - RJ| Brasil,2016/07/06,06:51:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9127998352,-43.2209587097
Linha Amarela - Jacarepagua| Rio de Janeiro - RJ| Brasil,2016/07/06,07:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9656963348,-43.3570747375
Rua Cezar Muzio próximo ao 281 - Vicente de Carvalho| Rio de Janeiro - RJ| Brasil,2016/07/06,08:19:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8543300629,-43.3168601990
Rua do Magistrado - Bangu| Rio de Janeiro - RJ| Brasil,2016/07/04,11:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8722133636,-43.4773483276
Rua Enes Filho - Penha Circular| Rio de Janeiro - RJ| Brasil,2016/07/06,12:03:00,Não,0,0,Não,0,0,Não,-22.8333549500,-43.2862968445
Av. Vicente de Carvalho - Vicente de Carvalho| Rio de Janeiro - RJ| Brasil,2016/07/06,12:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8512935638,-43.3110656738
Rua Lisboa - Jardim Santa Rosa| São João de Meriti - RJ| Brasil,2016/07/06,16:03:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7699813843,-43.3498039246
Rua Lisboa - Jardim Santa Rosa| São João de Meriti - RJ| Brasil,2016/07/06,16:03:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7699813843,-43.3498039246
Rua Capineira - Vila Ideal| Duque de Caxias - RJ| Brasil,2016/07/06,17:55:00,Não Sabe,0,0,Sim,1,0,Sim,-22.7944641113,-43.3152313232
Rua São José - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9050159454,-43.1751098633
Rua da Ajuda - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:16:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9068737030,-43.1766166687
Estrada de Praia Seca| Araruama - RJ| Brasil,2016/07/06,18:46:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9229125977,-42.3427619934
Mangueira| Rio de Janeiro - RJ| Brasil,2016/07/06,18:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9052505493,-43.2340126038
Rua São José - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:15:00,Não Sabe,1,0,Não Sabe,1,0,Não Sabe,-22.9050159454,-43.1751098633
Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/06,19:32:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8593330383,-43.2754745483
Estrada do Itararé - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/06,19:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8619403839,-43.2678642273
Rua Governador Portela - Trezentos| São João de Meriti - RJ| Brasil,2016/07/06,19:53:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.7845134735,-43.3368644714
Rua Uranos próximo ao 1326 - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/06,19:28:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8536949158,-43.2614479065
Rua Baronesa de Uruguaiana - Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/06,18:05:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.9117755890,-43.2781181335
Rua Maria Lucinda - Vila Tiradentes| São João de Meriti - RJ| Brasil,2016/07/06,20:12:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8002891541,-43.3822135925
Rua Valinhos - Engenho da Rainha| Rio de Janeiro - RJ| Brasil,2016/07/06,20:17:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8636283875,-43.2955589294
Estrada do Itararé - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/06,20:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8619403839,-43.2678642273
Estrada do Páu-Ferro - Pechincha| RJ| Brasil,2016/07/06,20:47:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9277915955,-43.3439826965
